,Teams,Beers,Brewery
221,Oakland Athletics,Strike Brewing Co. Blonde,Strike Brewing Co.
222,Oakland Athletics,Strike Brewing Co. Irish Red Ale, Strike Brewing Co. 
223,Oakland Athletics,Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.
224,Oakland Athletics,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
225,Oakland Athletics,Drake's 1500 Pale Ale,Drake's Brewing Co.
226,Oakland Athletics,Drake's IPA,Drake's Brewing Co.
227,Oakland Athletics,Trumer Pil,Trumer Brauerei Berkeley
228,Texas Rangers,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
229,Texas Rangers,Oskar Blues Dale's Pale Ale,Oskar Blues Grill & Brew
230,Texas Rangers,Founders All Day IPA,Founders Brewing Company
231,Texas Rangers,Odell 90 Shilling Ale,
232,Texas Rangers,Franconia Lager,Franconia Brewing Company
233,Milwaukee Brewers,Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.
234,Milwaukee Brewers,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
235,Milwaukee Brewers,Bell's Oberon Ale,Bell's Brewery - Eccentric Café & General Store
236,Milwaukee Brewers,Milwaukee Brewing Company O-Gii,Milwaukee Brewing Company
237,Milwaukee Brewers,New Belgium Brewing Ranger,New Belgium Brewing
238,Pittsburgh Pirates,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Café & General Store
239,Pittsburgh Pirates,Lagunitas A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company
240,Pittsburgh Pirates,Dogfish Head Indian Brown Ale,Dogfish Head Craft Brewery
241,Pittsburgh Pirates,Dogfish Head 60 Minute IPA, Dogfish Head Craft Brewery 
242,Pittsburgh Pirates,Victory Hop Devil Ale,
243,Cleveland Indians,Fat Head's Head Hunter IPA,
244,Cleveland Indians,The Brew Kettle White Rajah,The Brew Kettle Taproom & Smokehouse / Production Works
245,Cleveland Indians,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Café & General Store
246,Cleveland Indians,Dogfish Head 60 Minute IPA, Dogfish Head Craft Brewery 
247,Cleveland Indians,Great Lakes Dortmunder Gold,Great Lakes Brewing Co.
248,Toronto Blue Jays,Alexander Keith's Galaxy Hop Ale, Alexander Keith's 
249,Toronto Blue Jays,Alexander Keith's Hallertauer Hope Ale,
250,Toronto Blue Jays,Alexander Keith's Cascade Hop Ale, Alexander Keith's 
251,Toronto Blue Jays,Stella Artois,Stella Artois
252,Toronto Blue Jays,Labatt Canadian Ale/Labatt 50,
253,Tampa Bay Rays,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams)
254,Tampa Bay Rays,New Belgium Fat Tire Amber Ale, New Belgium Brewing 
255,Tampa Bay Rays,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) 
256,Tampa Bay Rays,Batch 19,Coors Brewing Company (Molson-Coors)
257,Tampa Bay Rays,Leinenkugel's Summer Shandy ,Jacob Leinenkugel Brewing Company
