Teams,Beers,Stadium,Brewery 
San Diego Padres,,Petco Park,Tony Gwynn Jr Brewing
San Diego Padres,,Petco Park,Coronado Brewing
San Diego Padres,,Petco Park,Mermaid Brewing
San Diego Padres,,Petco Park,Karl Strauss
San Diego Padres,,Petco Park,Red Trolley
San Diego Padres,,Petco Park,Mike Hess Brewing
San Diego Padres,Stone Brewing Co. Ruination IPA,Petco Park,Stone Brewing Company
San Diego Padres,Green Flash West Coast I.P.A.,Petco Park,Green Flash Brewing
San Francisco Giants,Anchor Porter,Oracle Park,Anchor Brewing Company
San Francisco Giants,,Oracle Park,Henhouse
San Francisco Giants,,Oracle Park,Laughing Monk
San Francisco Giants,,Oracle Park,Russian River
San Francisco Giants,,Oracle Park,Moonraker
San Francisco Giants,,Oracle Park,Temescal
San Francisco Giants,,Oracle Park,Local Brewing
San Francisco Giants,,Oracle Park,Altamont
San Francisco Giants,,Oracle Park,Almanac
San Francisco Giants,,Oracle Park,Pizza port 
San Francisco Giants,,Oracle Park,Fieldwork Brewing Company
San Francisco Giants,,Oracle Park,Plow Brewing Company
San Francisco Giants,,Oracle Park,The Bruery
San Francisco Giants,,Oracle Park,Beachwood Blendery
San Francisco Giants,Sierra Nevada Pale Ale,Oracle Park,Sierra Nevada Brewing Co.
San Francisco Giants,Anchor Steam Beer,Oracle Park,Anchor Brewing Company
San Francisco Giants,Lagunitas IPA,Oracle Park,Lagunitas Brewing Company
San Francisco Giants,Trumer Pils,Oracle Park,Trumer Brauerei Berkeley
Seattle Mariners,Ninkasi Vanilla Oatis Stout,T-Mobile Park,Ninkasi Brewing
Seattle Mariners,,T-Mobile Park,10 Barrel
Seattle Mariners,,T-Mobile Park,Ecliptic
Seattle Mariners,,T-Mobile Park,Maritime Pacific
Seattle Mariners,,T-Mobile Park,Dru Bru Pacific Crest
Seattle Mariners,,T-Mobile Park,Elysian
Seattle Mariners,,T-Mobile Park,Reuben
Seattle Mariners,,T-Mobile Park,NoLi
Seattle Mariners,,T-Mobile Park,Mac & Jack
Seattle Mariners,,T-Mobile Park,Breakside
Seattle Mariners,,T-Mobile Park,Sumerian
Seattle Mariners,Northwest Brewing Joker Amber Ale,T-Mobile Park,Northwest Brewing
Seattle Mariners,Black Raven Trickster IPA,T-Mobile Park,Black Raven Brewing Co.
Seattle Mariners,Fremont Interurban IPA,T-Mobile Park,Fremont Brewing Company
Seattle Mariners,Iron Horse Brewing Irish Death,T-Mobile Park,Iron Horse Brewing
Seattle Mariners,Spire Dark & Dry; Dry cider,T-Mobile Park,Spire Mountain Ciders
Seattle Mariners,Stone Brewing Company IPA,T-Mobile Park,Saucony Creek Brewing Company + Gastropub
Seattle Mariners,Schooner Exact King Street Brown,T-Mobile Park,Schooner Exact Brewing Company
Seattle Mariners,Pike 5X Stout,T-Mobile Park,Pike Brewing Company
Seattle Mariners,21st Amendment Watermelon wheat,T-Mobile Park,21st Amendment Brewery
Seattle Mariners,7 Seas Port Royal stout,T-Mobile Park,7 Seas Brewery and Taproom
Seattle Mariners,Full Sail Amber,T-Mobile Park,Full Sail Brewing Company
Seattle Mariners,Victory Prima Pils,T-Mobile Park,Victory Brewing Company - Downingtown
Seattle Mariners,Bale Breaker Top Cutter IPA,T-Mobile Park,Bale Breaker Brewing Company
Seattle Mariners,Rogue Hazlenut Brown Ale,T-Mobile Park,Rogue Brewing
Seattle Mariners,Two Beers EVO IPA,T-Mobile Park,Two Beers Brewing Co.
Seattle Mariners,Diamond Knot IPA,T-Mobile Park,Diamond Knot Brewery
Washington Nationals,Dogfish Head Brewery 60 Minute IPA,Nationals Park,Dogfish Head Craft Brewery
Washington Nationals,,Nationals Park,Atlas
Washington Nationals,,Nationals Park,Golden Road
Washington Nationals,,Nationals Park,Port City Brewing
Washington Nationals,,Nationals Park,DC Brau
Washington Nationals,,Nationals Park,Devils Backbone
Washington Nationals,,Nationals Park,3 Stars Brewing
Washington Nationals,Flying Dog Brewery Gonzo Imperial Porter,Nationals Park,Flying Dog Brewery
