Teams,Beers,Stadium,Brewery,Address 
Cleveland Indians,Fat Head's Head Hunter IPA,Progressive Field,Fat Head's Brewing,"17450 Engle, Lake Abram Dr, Middleburg Heights, OH 44130"
San Francisco Giants,,Oracle Park,Fieldwork Brewing Company,"1160 Sixth Street, Berkeley, CA 94710"
Cincinnati Reds,50 West Wire to Wire Wheat,Great American Ball Park,Fifty West Brewing Company,"7668 Wooster Pike, Cincinnati, OH 45227"
Oakland Athletics,,RingCentral Coliseum,Firestone Walker Brewing Co.,"3993, 1400 Ramada Dr, Paso Robles, CA 93446"
Los Angeles Dodgers,Stone Brewing Co. Stone IPA,Dodger Stadium,Firestone Walker Brewing Co.,"3993, 1400 Ramada Dr, Paso Robles, CA 93446"
New York Mets,,Citi Field,Five Boroughs,"215 47th St, Brooklyn, NY 11220"
Washington Nationals,Flying Dog Brewery Gonzo Imperial Porter,Nationals Park,Flying Dog Brewery,"4607 Wedgewood Blvd, Frederick, MD 21703"
Baltimore Orioles,Flying Dog Snake Dog IPA,Oriole Park at Camden Yards,Flying Dog Brewery,"4607 Wedgewood Blvd, Frederick, MD 21703"
Baltimore Orioles,Old Dominion Oak Barrel Stout,Oriole Park at Camden Yards,Fordham & Dominion Brewing Company,"1284 McD Dr, Dover, DE 19901"
Baltimore Orioles,Fordham Copperhead Ale,Oriole Park at Camden Yards,Fordham & Dominion Brewing Company,"1284 McD Dr, Dover, DE 19901"
New York Mets,,Citi Field,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
St. Louis Cardinals,,Busch Stadium,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
Kansas City Royals,Founders All-Day IPA,Kauffman Stadium,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
Detroit Tigers,Founders Porter,Comerica Park,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
Cincinnati Reds,Founders All Day IPA,Great American Ball Park,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
Texas Rangers,Founders All Day IPA,Globe Life Park in Arlington,Founders Brewing Company,"235 Grandville Ave SW, Grand Rapids, MI 49503"
Arizona Diamondbacks,,Chase Field,Four Peaks Brewing Company,"1340 E 8th St #104, Tempe, AZ 85281"
Texas Rangers,,Globe Life Park in Arlington,Four Peaks Brewing Company,"1340 E 8th St #104, Tempe, AZ 85281"
Milwaukee Brewers,,Miller Park,Fox River Brewery,"4301 W Wisconsin Ave, Appleton, WI 54913"
Texas Rangers,Franconia Lager,Globe Life Park in Arlington,Franconia Brewing Company,"495 McKinney Pkwy, McKinney, TX 75071"
Seattle Mariners,Fremont Interurban IPA,T-Mobile Park,Fremont Brewing Company,"1050 N 34th St, Seattle, WA 98103"
Seattle Mariners,Full Sail Amber,T-Mobile Park,Full Sail Brewing Company,"506 Columbia St, Hood River, OR 97031"
Baltimore Orioles,Full Sail Session Black Lager,Oriole Park at Camden Yards,Full Sail Brewing Company,"506 Columbia St, Hood River, OR 97031"
Minnesota Twins,Fulton Lonely Blonde,Target Field,Fulton Brewing Taproom,"414 N 6th Ave, Minneapolis, MN 55401"
Los Angeles Dodgers,,Dodger Stadium,Garage Brewing,"29095 Old Town Front St, Temecula, CA 92590"
Chicago Cubs,,Fenway Park,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806"
Los Angeles Angels of Anaheim,,Angel Stadium,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806"
Washington Nationals,,Nationals Park,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806"
Los Angeles Dodgers,,Dodger Stadium,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806"
Arizona Diamondbacks,,Chase Field,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806"
Arizona Diamondbacks,Goose Island Beer Co. Honker's Ale,Chase Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Atlanta Braves,Goose Island Brewing Co. IPA,SunTrust Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Boston Red Sox,Goose Island Beer Co. Honker's Ale,Fenway Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Chicago Cubs,Goose Island Beer Co. Sofie,Wrigley Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Chicago White Sox,,Guaranteed Rate Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Houston Astros,Goose Island Beer Co. 312 Urban Wheat,Minute Maid Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Los Angeles Angels of Anaheim,Goose Island Beer Co. India Pale Ale,Angel Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Miami Marlins,Goose Island Beer Co. Sofie,Marlins Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Miami Marlins,Goose Island Beer Co. Matilda,Marlins Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
New York Mets,,Citi Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
New York Yankees,Goose Island Beer Co. Honker's Ale ,Yankee Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
New York Yankees,Goose Island Beer Co. 312 Urban Wheat,Yankee Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
St. Louis Cardinals,Goose Island IPA ,Busch Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
St. Louis Cardinals,Goose Island Honkers ,Busch Stadium,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Baltimore Orioles,Goose Island Honkers Ale,Oriole Park at Camden Yards,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Baltimore Orioles,Goose Island Sofie,Oriole Park at Camden Yards,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Minnesota Twins,,Target Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Cincinnati Reds,Goose Island Urban 312 Pale Ale,Great American Ball Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Texas Rangers,,Globe Life Park in Arlington,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Toronto Blue Jays,,Rogers Centre,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612"
Minnesota Twins,Grainbelt Nordeast,Target Field,Grainbelt Brewing,"1220 Marshall St NE, Minneapolis, MN 55413"
Detroit Tigers,,Comerica Park,Grand Armory,"17 S 2nd St, Grand Haven, MI 49417"
Arizona Diamondbacks,,Chase Field,Grand Canyon Brewing Co.,"301 N 7th St, Williams, AZ 86046"
Colorado Rockies,Great Divide Brewing Co. Titan IPA,Coors Field,Great Divide Brewing Co.,"2201 Arapahoe St, Denver, CO 80205"
Cleveland Indians,Great Lakes Dortmunder Gold,Progressive Field,Great Lakes Brewing Co.,"2516 Market Ave, Cleveland, OH 44113"
Tampa Bay Rays,,Tropicana Field,Green Bench Brewing Co.,"1133 Baum Ave N, St. Petersburg, FL 33705"
San Diego Padres,Green Flash West Coast I.P.A.,Petco Park,Green Flash Brewing,"6550 Mira Mesa Blvd, San Diego, CA 92121"
Chicago Cubs,,Fenway Park,Half Acre Beer Company,"4257 N Lincoln Ave, Chicago, IL 60618"
Chicago White Sox,,Guaranteed Rate Field,Half Acre Beer Company,"4257 N Lincoln Ave, Chicago, IL 60618"
Los Angeles Angels of Anaheim,Hangar 24 Brewery Betty,Angel Stadium,Hangar 24 Brewing,"1710 Sessums Dr, Redlands, CA 92374"
Kansas City Royals,,Kauffman Stadium,Harpoon Brewery & Beer Hall,"306 Northern Ave, Boston, MA 02210"
Boston Red Sox,Harpoon Octoberfest Beer,Fenway Park,Harpoon Brewery & Beer Hall,"306 Northern Ave, Boston, MA 02210"
Baltimore Orioles,Heavy Seas Loose Canno,Oriole Park at Camden Yards,Heavy Seas Beer,"4615 Hollins Ferry Rd, Halethorpe, MD 21227"
San Francisco Giants,,Oracle Park,HenHouse Brewing Company,"322 Bellevue Ave, Santa Rosa, CA 95407"
Toronto Blue Jays,,Rogers Centre,ockley Valley Brewing Co,"25 Centennial Rd #10, Orangeville, ON L9W 1R1, Canada"
Toronto Blue Jays,,Rogers Centre,Hoegaarden brewery,"Altenaken 1-3, 3320 Hoegaarden, Belgium"
Milwaukee Brewers,,Miller Park,Hofbrau,
Arizona Diamondbacks,,Chase Field,Hop Valley,"990 W 1st Ave, Eugene, OR 97402"
Cincinnati Reds,,Great American Ball Park,Hudy,
Minnesota Twins,Indeed Dandy Lager,Target Field,Indeed Brewing Company,"711 NE 15th Ave, Minneapolis, MN 55413"
New York Mets,,Citi Field,Interboro,"942 Grand St, Brooklyn, NY 11211"
Seattle Mariners,Iron Horse Brewing Irish Death,T-Mobile Park,Iron Horse Brewing,"412 N Main St, Ellensburg, WA 98926"
St. Louis Cardinals,Leinenkugel,Busch Stadium,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Baltimore Orioles,Leinenkugel Summer Shandy,Oriole Park at Camden Yards,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Cincinnati Reds,Leinenkugel's Summer Shandy,Great American Ball Park,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Tampa Bay Rays,Leinenkugel's Summer Shandy,Tropicana Field,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Baltimore Orioles,,Oriole Park at Camden Yards,Jailbreak Brewing Company,"9445 Washington Boulevard North F, Laurel, MD 20723"
Kansas City Royals,,Kauffman Stadium,Kansas City Bier Company,"310 W 79th St, Kansas City, MO 64114"
Houston Astros,,Minute Maid Park,Karbach Brewing Co.,"2032 Karbach St, Houston, TX 77092"
Texas Rangers,,Globe Life Park in Arlington,Karbach Brewing Co.,"2032 Karbach St, Houston, TX 77092"
Los Angeles Angels of Anaheim,,Angel Stadium,Karl Strauss Brewing Company,"9675 Scranton Rd, San Diego, CA 92121"
San Diego Padres,,Petco Park,Karl Strauss Brewing Company,"9675 Scranton Rd, San Diego, CA 92121"
Detroit Tigers,,Comerica Park,Keweenaw Brewing,"408 Shelden Ave, Houghton, MI 49931"
Baltimore Orioles,,Oriole Park at Camden Yards,Key Brewing,"2500 Grays Rd, Dundalk, MD 21222"
Texas Rangers,,Globe Life Park in Arlington,Kona Brewing Co.,"74-5612 Pawai Pl, Kailua, HI 96740"
Toronto Blue Jays,Labatt Canadian Ale/Labatt 50,Rogers Centre,Labatt Brewery,"150 Simcoe St, London, ON N6A 4M3, Canada"
Los Angeles Dodgers,,Dodger Stadium,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Oakland Athletics,,RingCentral Coliseum,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Chicago White Sox,Lagunitas Brewing Company DayTime,Guaranteed Rate Field,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
San Francisco Giants,Lagunitas IPA,Oracle Park,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Baltimore Orioles,Lagunitas Pils,Oriole Park at Camden Yards,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Pittsburgh Pirates,Lagunitas A Little Sumpin' Sumpin' Ale,PNC Park,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Milwaukee Brewers,,Miller Park,Lakefront Brewery,"1872 N Commerce St, Milwaukee, WI 53212"
Baltimore Orioles,Lancaster Strawberry Wheat,Oriole Park at Camden Yards,Lancaster Brewing Company,"469 Eisenhower Blvd, Harrisburg, PA 17111"
San Francisco Giants,,Oracle Park,Laughing Monk Brewing,"1439 Egbert Ave unit a/b, San Francisco, CA 94124"
Los Angeles Angels of Anaheim,,Angel Stadium,Left Coast Brewing Co.,"1245 Puerta Del Sol, San Clemente, CA 92673"
Colorado Rockies,,Coors Field,Left Hand Brewing,"1265 Boston Ave, Longmont, CO 80501"
Texas Rangers,,Globe Life Park in Arlington,Legal Draft Beer Co.,"500 E Division St, Arlington, TX 76011"
Milwaukee Brewers,,Miller Park,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
New York Mets,,Citi Field,LIC Beer Project,"39-28 23rd St, Long Island City, NY 11101"
Minnesota Twins,Lift Bridge Hop Dish,Target Field,Lift Bridge Brewery,"1900 Tower Dr W, Stillwater, MN 55082"
Cincinnati Reds,Listermann Leopold Belgium Blonde,Great American Ball Park,Listermann Brewing Company,"1621 Dana Ave, Cincinnati, OH 45207"
Miami Marlins,,Marlins Park,Litehaus Pilsner,
San Francisco Giants,,Oracle Park,Local Brewing,"69 Bluxome St, San Francisco, CA 94107"
Seattle Mariners,,T-Mobile Park,Mac & Jack's Brewery,"17825 NE 65th St, Redmond, WA 98052"
Cincinnati Reds,Mad Tree PsycHOPathy IPA,Great American Ball Park,MadTree Brewing,"3301 Madison Rd, Cincinnati, OH 45209"
Baltimore Orioles,,Oriole Park at Camden Yards,Manor Hill Brewing,"4411 Manor Ln, Ellicott City, MD 21042"
Seattle Mariners,,T-Mobile Park,Maritime Pacific Brewing Company,"1111 NW Ballard Way, Seattle, WA 98107"
Cleveland Indians,,Progressive Field,Market Garden Brewery,"3418, 1947 W 25th St, Cleveland, OH 44113"
Kansas City Royals,Martin City Abbey,Kauffman Stadium,Martin City Brewing Company,"500 E 135th St, Kansas City, MO 64145"
San Diego Padres,,Petco Park,Mermaid Brewing,
San Diego Padres,,Petco Park,Mike Hess Brewing,"3812 Grim Ave, San Diego, CA 92104"
New York Mets,,Citi Field,Mikkeller Brewing ,"9366 Cabot Dr, San Diego, CA 92126"
Toronto Blue Jays,,Rogers Centre,Mill Street Brewery,"125 Bermondsey Rd, North York, ON M4A 1X3, Canada"
Milwaukee Brewers,Milwaukee Brewing Company O-Gii,Miller Park,Milwaukee Brewing Company,"613 S 2nd St, Milwaukee, WI 53204"
Los Angeles Angels of Anaheim,,Angel Stadium,Modern Times,"3725 Greenwood St, San Diego, CA 92110"
Minnesota Twins,,Target Field,Modist Brewing Co.,"505 N 3rd St, Minneapolis, MN 55401"
